numero_uai;nature_uai;ministere_tutelle;ministere_tutelle_libe;tutelle_2;tutelle_2_libe;secteur_public_prive;niveau_uai;niveau_uai_libe;commune;commune_libe;denomination_principale;patronyme_uai;numero_siren_siret_uai;date_ouverture;date_fermeture;lieu_dit_uai;adresse_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai
0531054H;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;53130;Laval;CTR DE FORMATION D APPRENTIS;CCI DE LA MAYENNE;18440128900055;43709;;;12 rue de Verdun;;53000;LAVAL
0541516E;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;54273;Jarny;CTR DE FORMATION D APPRENTIS;JEAN ZAY;19541229100021;25259;;;2 rue DE LA TUILERIE;BP39;54801;JARNY CEDEX
0541548P;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;54304;Laxou;CTR DE FORMATION D APPRENTIS;CEPAL CHAMBRE DES METIERS;18542204500020;25259;;;3 rue DE LA VEZOUZE;;54520;LAXOU
0541550S;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;54304;Laxou;CTR DE FORMATION D APPRENTIS;CFA CCI 54;18542202900024;28734;;;3 rue DU MOUZON;BP11019;54521;LAXOU CEDEX
0541898V;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;54431;Pont-à-Mousson;CTR DE FORMATION D APPRENTIS;METIERS DU BATIMENT;78334702400052;27814;;;Avenue NICOLAS PIERSON;BP261;54701;PONT A MOUSSON CEDEX
0541958K;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;54274;Jarville-la-Malgrange;CTR DE FORMATION D APPRENTIS;TRANSPORT ET LOGISTIQUE;77566202600936;28491;;;Avenue GENERAL DE GAULLE;BP72;54140;JARVILLE LA MALGRANGE
0542149T;600;03;ministère de l'agriculture;;;PU;2;UAI mère;54528;Toul;CTR FORMATION APPRENTIS AGRIC.;CFA AGRI DE MEURTHE ET MOSELLE;19541207700057;30560;;;12 RUE DROUAS;;54200;TOUL
0542221W;600;06;ministère de l'éducation nationale;;;PR;2;UAI mère;54357;Maxéville;CFAI LORRAINE-API;CFAI LORRAINE-API;34958609900021;32509;;;Parc ST JACQUES 10 R.A.KASTLER;;54320;MAXEVILLE
0542287T;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;54395;Nancy;CTR DE FORMATION D APPRENTIS;METIERS BANQUE ET FINANCE;39029928700024;33848;;;91 avenue de la Libération;;54000;NANCY
0542389D;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;54395;Nancy;CTR DE FORMATION D APPRENTIS;RESTAURATION DE MTHE ET MOSELL;41339783700027;35674;;;24 rue HENRI BAZIN;;54000;NANCY
0542397M;600;06;ministère de l'éducation nationale;;;PU;1;UAI célibataire;54578;Villers-lès-Nancy;CTR DE FORMATION D APPRENTIS;CFA UNIVERSITE DE LORRAINE;33068839100011;36039;;;Rue du Doyen Urion;;54600;VILLERS LES NANCY
0542413E;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;54526;Tomblaine;CTR DE FORMATION D APPRENTIS;METIERS DES SERVICES;19540061900027;37135;;;8 rue Jean Moulin;BP98;54510;TOMBLAINE
0542414F;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;54395;Nancy;CTR DE FORMATION D APPRENTIS;AUTO.ET METIERS DE L'INDUSTRIE;18542213600027;37135;;;53  RUE DE BONSECOURS CS 5230;;54052;NANCY CEDEX
0542415G;600;35;ministère de la santé et de la solidarité nationale;;;PR;1;UAI célibataire;54395;Nancy;CTR DE FORMATION D APPRENTIS;TRAVAIL SOCIAL DE LORRAINE;42196824900035;37135;;;201  AVENUE RAYMOND PINCHARD;BP2009;54100;NANCY
0542416H;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;54548;Vannes-le-Châtel;CTR DE FORMATION D APPRENTIS;ART REGIONAL DU VERRE;;37135;;;CHEMIN DU GRIPPOT;;54112;VANNES LE CHATEL
0542463J;600;06;ministère de l'éducation nationale;;;PR;1;UAI célibataire;54395;Nancy;CTR DE FORMATION D APPRENTIS;AREP LORRAINE;50021175000012;38596;;;32 avenue FOCH;;54000;NANCY
0542474W;600;06;ministère de l'éducation nationale;;;PU;3;UAI fille;54395;Nancy;CTR DE FORMATION D APPRENTIS;INTER REG DES TECHNOLOGIES;19540042900013;39692;;;29  RUE DES JARDINIERS CS 34218;;54042;NANCY CEDEX
