cle_ministere_educatif;uai_formation
100365P012X4933005600001578170232900017-24322#L01;0240089S
100365P012X7782105260001978991028800024-58194#L01;0580071M
100365P012X7832024680002278320246800030-84007#L01;0841150U 
100365P012X7844140540011378441405400113-75118#L01;0754674Y
100365P012X8313809360001183138093600011-83061#L01;0831760M
100365P012X8845852580001280337752200021-69266#L01;0694434V
1003671214105811020001041058110200010-33243#L01;0331719P
10036712X1984000530002319840005300023-84031#L01;0840016L 
100367P01111838300170023618383001700236-38185#L01;0381861S 
100367P01117756881040006377568810400063-69388#L01;0690642Y
100367P011X1894091050001318940910500013-94028#L01;0940114N
100367P011X1931004430002019310024500011-31395#L01;0310024H
100367P011X5001380290002977562556900014-59392#L01;0592916Z 
100367P012X1300206880001113002068800045-44184#L01;0442631W
100367P012X1300226760003013002267600030-68224#L01;0681948Y
100367P012X1825002310002819250030400014-25388#L01;0250030X 
100367P012X1825002310002819900004300018-90010#L01;0900460L
100367P012X1831090730003519820826600017-82033#L01;0820004J
100367P012X1859216160005718592161600057-59017#L01;0590010R
100367P012X1859216160005718592161600057-59350#L01;0590258K 
100367P012X1859216160005718592161600057-62119#L01;0620040G
100367P012X1887370350002518873703500025-87085#L01;0871055Z
100367P012X1897421170009718974211700097-97411#L01;9740983A
100367P012X1901001640002819010016400028-01053#L01;0010016M
100367P012X1905000660003919050006600039-05023#L01;0050003B
100367P012X1905000660003919050006600039-05061#L01;0050007F
100367P012X1912002450002219120024500022-81004#L01;0810005R
100367P012X1913005320002219130053200022-13208#L01;0130175V
100367P012X1913320630002019133206300020-13001#L01;0130001F
100367P012X1913320630002019133206300020-13117#L01;0133288D
100367P012X1931004430002019310044300020-31555#L01;0313047U
100367P012X1935003030003019350030300030-35238#L01;0352996S
100367P012X1957005700003719570057000037-57463#L01;0572728F
100367P012X1957009920004119570099200041-57227#L01;0570030Y
100367P012X1984000530002319840005300023-84031#L01;0840016L 
100367P012X3004888060011230048880600112-59378#L01;0593335E 
100367P012X3156680380004731566803800047-97411#L01;9741570N
100367P012X3262983460005632629834600056-29019#L01;0292417V
100367P012X3292245620060632922456200606-33039#L01;0333405X
100367P012X3292245620063032922456200267-06088#L01;0061610T
100367P012X3418207770003334182077700033-77284#L01;0772153X
100367P012X3418207770003334182077700033-77288#L01;0771238C
100367P012X3492918980001434929189800014-91114#L01;0910843X
100367P012X3511911190016035119111900160-35238#L01;0353005B
100367P012X3511911190016035119111900277-56260#L01;0562005A
100367P012X3511911190016035119111900285-14566#L01;01412395c
100367P012X3511911190016035119111900293-35047#L01;0353009F
100367P012X3511911190030135119111900301-53054#L01;0531021X
100367P012X3783565540003037835655400030-84007#L01;0840077C
100367P012X3813487960002438134879600024-42059#L01;0420998G
100367P012X3813487960002438134879600024-69385#L01;0690520R
100367P012X3813487960002438134879600024-69387#L01;0694286J
100367P012X3944545160002977838286100012-39198#L01;0391146J
100367P012X3994539430005839945394300066-06079#L01;0062116T
100367P012X4189553810005241895538100045-83107#L01;0831692N
100367P012X4189553810005241895538100052-83144#L01;0831693P
100367P012X4208472460020442084724600204-92062#L01;0922673F
100367P012X4238063550020642380635500099-83137#L01;0830662U
100367P012X4378087690004043780876900040-33281#L01;0333233K
100367P012X4806458600006948064586000069-69266#L01;0694228W
100367P012X4933005600001578184279400021-33063#L01;0332495H
100367P012X5030492150002651390348400014-43157#L01;0430098Y
100367P012X5030492150002677634558900027-42187#L01;0420974F
100367P012X5030492150002677634558900043-42187#L01;0420974F
100367P012X5030492150002677656218300033-74081#L01;0740143D
100367P012X5048976870002750489768700027-97209#L01;9720926Z
100367P012X5275735130002752757351300043-21231#L01;0212245B
100367P012X5343631300002053436313000020-31555#L01;0313007A
100367P012X7755583070009378275577100030-13106#L01;0131675A 
100367P012X7756881040005577568810400055-13210#L01;0133334D
100367P012X7757008420001377570084200013-76429#L01;0762312A
100367P012X7763952870001977639528700019-42218#L01;0420979L
100367P012X7832024680002278320246800030-84007#L01;0841150U 
100367P012X7844140540011378441405400113-75118#L01;0754674Y
100367P012X7935077400003379350774000033-94028#L01;0942447Z
100367P012X7946372800002379463728000023-06088#L01;0062221G
100367P012X8004763680002580047636800025-59346#L01;0597013C 
100367P012X8778455370001987784553700019-13004#L01;0133837A
100367P012X8812896720002788128967200027-67447#L01;0673151L
100367P012X8838776490001178834821700027-49331#L01;0490840X
100367P012X8845852580001280337752200021-69266#L01;0694434V
1005611211913320630002019133206300020-13004#L01;0130011S 
10056112X1984000530002319840005300023-84007#L01; 0840005Z
100561P01114444720210001348825428500015-85238#L01;0850086G
100561P01213487254900002634872549000034-61143#L01;0611152W
100561P012X1821002630004118210026300041-21231#L01;0211033J
100561P012X1831090730003519650027600015-65440#L01;0650027B
100561P012X1831090730003519810959700015-81065#L01;0810959C
100561P012X1845031000003619370009300019-37072#L01;0370009J
100561P012X1859216160005718592161600057-59033#L01;0590015W
100561P012X1859216160005718592161600057-59172#L01;0590060V 
100561P012X1859216160005718592161600057-59295#L01;0590102R
100561P012X1859216160005718592161600057-59599#L01;0590214M 
100561P012X1859216160005718592161600057-62041#L01;0620257T 
100561P012X1859216160005718592161600057-62193#L01;0624141P
100561P012X1859216160005718592161600057-62498#L01;0620110H 
100561P012X1867155380003618671553800044-67544#L01;0670114K
100561P012X1880086430002818800864300028-02381#L01;0020031Y 
100561P012X1887370350002518873703500025-87085#L01;0870118F
100561P012X1897421170007118974211700071-97407#L01;9741242G
100561P012X1908000860002619080008600026-08409#L01;0080018B
100561P012X1913320630002019133206300020-13004#L01;0130011S 
100561P012X1954004290002119540042900021-54431#L01;0541270M
100561P012X1956002670004919560026700049-22136#L01;0222043B
100561P012X1975067690001119750676900011-75111#L01;0750676C
100561P012X1982002140004919820021400049-32410#L01;0320030J
100561P012X1984000530002319840005300023-84007#L01; 0840005Z
100561P012X3004888060011230048880600112-59378#L01;0593335E 
100561P012X3495860990002134958609900021-55029#L01;055996ST
100561P012X3495860990002134958609900021-57316#L01;0573690B
100561P012X3495860990002134958609900021-57757#L01;0572698Y
100561P012X3495860990002134958609900021-88465#L01;0881721T
100561P012X3510908400001535109084000015-24138#L01;0241204D
100561P012X3510908400001535109084000015-33351#L01;0333206F
100561P012X3525011590001135250115900011-58194#L01;0580771Y
100561P012X3904824200002839048242000028-29019#L01;0292258X
100561P012X3904824200002839048242000028-35047#L01;0352503F
100561P012X3904824200002839048242000028-35360#L01;0352927S
100561P012X3904824200002839048242000028-56121#L01;0561949P
100561P012X3904824200002877772221600010-35236#L01;0350791V
100561P012X4109366450004419220058200026-22093#L01;0222033R
100561P012X4444720210001348825428500015-85238#L01;0850086G
100561P012X4523595160002145235951600021-91086#L01;0911826R
100561P012X8208152800001282081528000012-35051#L01;0350793X
100561P022X4109366450004441093664500044-35184#L01;0352722U
100563P01111920100230002119201002300021-2A004#L01;6200003J
100563P012X1859216160005718592161600057-59350#L01;0596816N
100563P012X1867155380003618671553800044-68063#L01;0681810Y
100563P012X3525011590001135250115900011-58194#L01; 0580771Y
100563P012X3904824200002839048242000028-29019#L01;0292258X
100563P012X3904824200002839048242000028-35360#L01;0352927S
100563P012X4137840750002541378407500025-75114#L01;0750691U
100563P012X4332642070002143326420700021-64129#L01;0641664L
100563P012X4844429260002448444292600024-94002#L01;0940126B
100563P012X7756881040018877568810400188-75104#L01;0751488K
100735P01117756887990001177568879900383-28214#L01;	0281101V 
100735P012X1859216160005718592161600057-59183#L01;0596885N
100735P012X1957005700003719570057000037-57672#L01;0570108H
100735P012X1966069900005519660699000055-66164#L01;0660733N
100739P01111876090940002919140014200045-14437#L01;0141687H
100739P01111935003030003019350030300030-35095#L01;0352769V
100739P012X1300279310004213002793100042-09122#L01;0090553C
100739P012X1821002630004118210026300041-89024#L01;0890005X
100739P012X1859216160005718592161600057-59350#L01;0596957S
100739P012X1859216160005718592161600057-62119#L01;0623130R
100739P012X3793267050006637932670500033-39198#L01;0391172M
100739P012X3904824200002839048242000028-35047#L01;0352503F
100739P012X7787152190013677871521900052-70550#L01;0701147S
100739P012X7787152190013677871521900136-25230#L01;0391172M
100739P012X8907914290001689079142900016-34032#L01;0342156J
100743P01115030492150002651390348400014-43157#L01;0430098Y
100743P011X1831090730003519310057500011-31555#L01;0311902Z
100743P011X1831090730003519310091400012-31555#L01;0311902Z
100743P011X1831090730003519810012500014-81060#L01;0810012Y
100743P011X1859216160005718592161600057-59286#L01;0590093F 
100743P011X1859216160005718592161600057-62427#L01;0623328F 
100743P011X1859216160005718592161600057-62510#L01;0620190V 
100809P011X3893588540005438935885400054-75120#L01;0755501X
100813P012X3511911190016035119111900160-35238#L01;0353005B
100923P011X1300279310004213002793100042-09122#L01; 0090553C
100923P011X7756621410006577566214100065-93051#L01;0931815T
100923P012X1859216160005718592161600057-59540#L01;0596798U
100923P012X1859216160005718592161600057-62193#L01;0623463C
100923P012X1859216160005718592161600057-62534#L01;0624262W
100923P012X1929007100002619290071000026-29162#L01;0292164V
100923P012X7786484850007777864848500093-25056#L01;0251967C
100929P01111956002670004919560026700049-56178#L01; 0561985D
100929P011X7756621410006577566214100065-93051#L01;0931815T
100929P012X1300279310004213002793100042-09122#L01; 0090553C
100929P012X1821002630004118210026300041-89024#L01;0890005X
100929P012X1859216160005718592161600057-62041#L01;0624250H
100929P012X1929007100002619290071000026-29162#L01;0292164V
101305P013X7833332970005078333329700050-54395#L01;0542448T
102869P01114853882010004148538820100041-22070#L01;0222029L
102869P012X1300280120001613002801200040-54304#L01;0541548P
102869P012X1859216160005718592161600057-62041#L01;0624444U
102869P012X1951003590002319510035900023-51454#L01;0510038P
102869P012X8052672000001480526720000014-71270#L01;0711884M
102925P01113262983460005632629834600056-29019#L01;0292417V
102927P013X1971106870006219711068700062-71445#L01;0711641Y
102927P013X7861360690001478613606900014-49063#L01;0491835D
102931P012X4853882010004148538820100041-22106#L01;0221992W
102931P012X4853882010004148538820100041-35238#L01;0352192T
102931P013X1906079370007419830077400025-83069#L01;0831637D
102931P013X1906079370007419830077400033-83004#L01;0831580S
102931P013X1927110750001519271107500031-27229#L01;0271635F
102931P013X1930013930003519300139300035-30356#L01;0301435X
102931P013X1971106870006219711068700062-71445#L01;0711641Y
103805P011X7756621410006577566214100065-93051#L01;0931815T
10423712X1984000530002319840005300023-84035#L01;0840017M
104237P01111942004240002719420042400027-42187#L01;0420034J
104237P01115030492150002641137587600017-07010#L01;0070100W
104237P012X1825002310002819900004300018-90010#L01;0900236T
104237P012X1831090730003519310050000035-31555#L01;0312759F
104237P012X1859216160005718592161600057-59350#L01;0590258K 
104237P012X1859216160005718592161600057-59606#L01;0590221V 
104237P012X1859216160005718592161600057-62427#L01;0620093P
104237P012X1887370350002518873703500025-19031#L01;0190770J
104237P012X1984000530002319840005300023-84035#L01;0840017M
104237P012X3054050450087630540504500876-59646#L01;0597021L 
104237P012X3054050450175930540504501759-89013#L01;0891327j
104237P012X3511911190016035119111900160-35238#L01;0353005B
104237P012X3511911190016035119111900277-56260#L01;0562005A
104237P012X3792416310005837924163100058-84007#L01;0840077C 
104237P012X3813487960002438134879600024-69387#L01;0694286J
104237P012X4189553810005241895538100052-83144#L01;0831693P
104237P012X4238063550020642380635500099-83137#L01;0830662U
104237P012X4444720210001331700303600124-85146#L01;0850136L
104237P012X4493560470004244935604700042-75113#L01;0755214K
104237P012X4521194980010645211949800106-69388#L01;0694365V
104237P012X5030492150002641137587600017-07010#L01;0070100W
104237P012X7755583070009330154944000024-13001#L01;0133395V
104237P012X7755583070009377555830700093-13216#L01;0131432L 
104237P012X7756801350070177568013500701-59009#L01;0596460B
104237P012X7781277530001177812775300011-54025#L01;0542295B
1042391218313809360001183138093600011-83061#L01;0831760M
10423912X1913005320002219130053200022-13005#L01;0131549N
10423912X1984000530002319840005300023-84031#L01;0840016L
104239P01111863090920001019150006500039-15014#L01;0150006A
104239P01111955000200002719550002000027-55545#L01;0550025D
104239P01115030492150002651390348400014-43157#L01;0430098Y
104239P011X1894091050001318940910500013-93073#L01;0932046U
104239P011X5001380290002942906702800077-59599#L01;0592965C
104239P011X5001380290002977562426500077-59350#L01;0593117T 
104239P011X5001380290002978060965700017-80021#L01;0801207C 
104239P011X5001380290002978354361400029-59122#L01;0593061G 
104239P011X5001380290002978407330600010-62758#L01;0622198C 
104239P01213511911190016035119111900285-14566#L01;0142395c
104239P012X1300172700082388941511300030-75117#L01;0783351U
104239P012X1300279720013713002797200137-77288#L01;0771238C
104239P012X1821002630004118210026300041-58194#L01; 0580032V
104239P012X1821002630004118210026300041-71263#L01;0710042K
104239P012X1821002630004118210026300041-71270#L01;0710045N
104239P012X1831090730003519120031000016-12300#L01;0120031U
104239P012X1853004490001318530044900013-53130#L01;0531018U
104239P012X1859216160005718592161600057-59009#L01;0594375K
104239P012X1859216160005718592161600057-59295#L01;0590102R 
104239P012X1859216160005718592161600057-59350#L01;0590258K 
104239P012X1859216160005718592161600057-59512#L01;0590185F
104239P012X1859216160005718592161600057-62427#L01;0623328F 
104239P012X1867155380003618671553800044-67180#L01;0670024M
104239P012X1880086430002818800864300028-80021#L01;0801628K 
104239P012X1887370350002518873703500025-19031#L01;0190770J
104239P012X1887370350002518873703500025-87085#L01;0871055Z
104239P012X1901001640002819010016400028-01053#L01;0010016M
104239P012X1905000660003919050006600039-04112#L01;0040010P
104239P012X1905000660003919050006600039-05023#L01;0050003B
104239P012X1913005320002219130053200022-13005#L01;0131549N
104239P012X1913005320002219130053200022-13207#L01;0130071G
104239P012X1922005820002619220058200026-22278#L01;0222042A
104239P012X1933002330003119330126400019-33522#L01;0330126H
104239P012X1954004290002119540042900021-54329#L01;0540034U
104239P012X1957005700003719570057000037-57463#L01;0572728F
104239P012X1957009920004119570099200041-57227#L01;0570030Y
104239P012X1984000530002319840005300023-84031#L01;0840016L
104239P012X2000044630002820000446300028-97616#L01;9760182U
104239P012X2000463240002220004632400022-07324#L01;0070029U 
104239P012X3004888060011230048880600112-59378#L01;0593335E
104239P012X3028478920002330284789200023-42218#L01;0421567A
104239P012X3156680380004731566803800047-97411#L01;9741570N
104239P012X3262983460005632629834600056-29019#L01;0292417V
104239P012X3292245620060632922456200606-33039#L01;0333405X
104239P012X3292245620063032922456200267-06088#L01;0061610T
104239P012X3492918980001434929189800014-91114#L01;0910843X
104239P012X3511911190016035119111900160-35238#L01;0353005B
104239P012X3511911190016035119111900277-56260#L01;0562005A
104239P012X3511911190030135119111900301-53054#L01;0531021X
104239P012X3783565540003037835655400030-84007#L01;0840077C 
104239P012X3813487960002433378481700012-42059#L01;0420998G
104239P012X3813487960002438134879600024-01053#L01;0010070W
104239P012X3813487960002438134879600024-69387#L01;0694286J 
104239P012X3893795610002738937956100027-59588#L01;0596995H 
104239P012X3932481900002639324819000026-78545#L01;0782593V
104239P012X3933377380004039333773800040-75119#L01;0753815P
104239P012X3944545160002953329492200067-90010#L01;0900029T
104239P012X3944545160002977838286100012-39198#L01;0391146J
104239P012X3994539430005839945394300066-06079#L01;0062116T
104239P012X4105811020001041058110200010-33243#L01;0331719P 
104239P012X4129844940001041298449400010-78644#L01;0783553N
104239P012X4178783370004341787833700043-06088#L01;0062201K
104239P012X4189553810005241895538100045-83107#L01;0831692N
104239P012X4189553810005241895538100052-83144#L01;0831693P
104239P012X4238063550020642380635500099-83137#L01;0830662U
104239P012X4241754610002142417546100021-44184#L01;0442632X
104239P012X4241754610002142417546100021-85191#L01;0851699K
104239P012X4378087690004043780876900040-33281#L01;0333233K
104239P012X4382169130003043821691300030-71076#L01;0711896A
104239P012X4405729150002144057291500021-83137#L01;0831738N
104239P012X4444720210001332548695900035-85191#L01;0850130E
104239P012X4521194980002345211949800023-94065#L01;0942263Z
104239P012X4523595160002145235951600021-91377#L01;0912263R
104239P012X4806458600006948064586000069-69266#L01;0694228W 
104239P012X4853882010004148538820100041-22050#L01;0220094H
104239P012X4853882010004148538820100041-22278#L01;0220116G
104239P012X4853882010004148538820100041-29039#L01;0291808H
104239P012X4887923830002548879238300025-54395#L01;0542536N
104239P012X5001380290002978386336800016-59032#L01;0592967E
104239P012X5048976870002750489768700027-97209#L01;9720926Z
104239P012X5275735130002752757351300043-21231#L01;0212245B
104239P012X5343631300002053436313000020-31555#L01;0313007A
104239P012X5378345330001153783453300011-71342#L01;0711755X
104239P012X7755583070009330154944000024-13001#L01;0133395V
104239P012X7755583070009334336336200017-13103#L01;0132922F
104239P012X7755583070009378275577100030-13106#L01;0131675A 
104239P012X7763952870001977639528700019-42218#L01;0420979L
104239P012X7782105260001978991028800024-58194#L01;0580071M
104239P012X7832024680002278320246800030-84007#L01;0841150U
104239P012X7946372800002379463728000023-06088#L01;0062221G
104239P012X8004763680002580047636800025-59346#L01;0597013C 
104239P012X8174267450002981742674500029-17415#L01;0171651C
104239P012X8313809360001183138093600011-83061#L01;0831760M
104239P012X8778455370001987784553700019-13004#L01;0133837A 
104239P012X8812896720002788128967200027-67447#L01;0673151L
104239P012X8838776490001178834821700027-49331#L01;0490840X
104239P012X8845852580001280337752200021-69266#L01;0694434V
104239P012X8848840570001688488405700016-14118#L01;0141815X
104239P013X1845031000003619370036600019-37261#L01;0370036N
104239P022X1880086430002818800864300028-02173#L01;0020014E 
104239P022X1880086430002818800864300028-60057#L01;0600001A 
104239P022X1880086430002818800864300028-80021#L01;0801628K 
104285P01111906079370007419060793700074-06004#L01;0061920E
104285P01111976131510001219761315100111-76258#L01;0763165C
104285P011X1906079370007419060793700074-06004#L01;0061920E
104285P011X1930013930003519300139300035-30356#L01;0301435X
104285P011X1959339570003519593395700035-59350#L01;0596316V
104285P011X1960126520002619601265200026-60537#L01;0601996U
104285P011X1977135710001019771357100010-77053#L01;0772750W
104285P011X4214324280001742143242800017-78623#L01;0783455G
104489P01113262983460005632629834600056-29019#L01;0292417V
104489P01113813487960002481262442700033-69266#L01;0694476R 
104491P01113262983460005632629834600056-29019#L01;0292417V
104491P012X3893795610002738937956100027-59588#L01;0596995H 
104491P012X8484102540001784841025400017-59507#L01;0597208P
104491P012X8484102540001784841025400017-62498#L01;0624515W
104845P01111876090940002919760096800022-76255#L01;0760032X
104845P01221821002630004118210026300041-21054#L01;0212045J
104845P01228925840790001678071371500107-14118#L02;0141867D
104845P012X1859216160005718592161600057-59009#L01;0596831E
104845P012X1859216160005718592161600057-62427#L01;0622318H
104845P01331825002310002819700882400017-70550#L01;0700882D
104845P013X1859216160005718592161600057-59136#L01;0590042A
104845P013X1859216160005718592161600057-59295#L01;0596701N
104845P013X1859216160005718592161600057-62160#L01;0624091K
104847P01114241754610002142417546100021-44184#L01;0442632X
104847P01114853882010004148538820100041-22278#L01;0221909F
104847P011X1859216160005718592161600057-59324#L01;0592712C
104847P011X5001380290002978383146400020-59574#L01;0596248W
104847P01228925840790001678071371500107-14118#L02;0141867D
104847P012X1300279310004213002793100042-09122#L01;0090553C
104847P012X1859216160005718592161600057-59136#L01;0590042A
104847P012X1859216160005718592161600057-59183#L01;0596885N
104847P012X1859216160005718592161600057-62427#L01;0622318H
104847P012X1859216160005718592161600057-62767#L01;0624094N
104847P012X4241754610002142417546100021-44184#L01;0442632X
104847P01321825002310002819700882400017-70550#L01;0700882D
104847P013X1300260730017613002607300176-71294#L01;0711078L
104847P013X1825002310002819900004300018-90010#L01;0900236T
104847P013X1859216160005718592161600057-59172#L01;0590282L
104847P013X1859216160005718592161600057-59350#L01;0596957S
104847P013X1859216160005718592161600057-62119#L01;0624436K
104847P013X1859216160005718592161600057-62160#L01;0624091K
104847P013X1859216160005718592161600057-62193#L01;0620062F
104847P013X1859216160005718592161600057-62560#L01;0620131F
104847P013X1888221180001718882211800017-88424#L01;0881672P
104847P013X1957005700003719570057000037-57672#L01;0570108H
104847P013X1957009920004119570099200041-57227#L01;0570030Y
104847P013X1957009920004119570099200041-57630#L01;0570095U
104847P013X1957009920004119570099200041-57631#L01;0570099Y
104847P013X3034084470003330340844700033-80021#L01;0801558J
104847P013X4241754610002142417546100021-44184#L01;0442632X
104847P013X8848840570001688488405700016-14118#L01;0141815X
104847P023X1957005700003719570057000037-57463#L01;0570057C
104849P012X1300279310004213002793100042-09122#L01; 0090553C
104849P012X8925840790001678071371500107-14118#L01;0141867D
104849P01321825002310002819700882400017-70550#L01;0700882D
104849P01331825002310002819900004300018-90010#L01;0900236T
104849P013X3034084470003330340844700033-80021#L01;0801558J
104849P013X8848840570001688488405700016-14118#L01;0141815X
106291P012X1300260730017613002607300176-71294#L01;0711078L
106291P012X1300279310004213002793100042-09122#L01; 0090553C
106291P012X1300280120001613002801200040-54304#L01;0541548P
106291P012X1859216160005718592161600057-62193#L01;0623105N
106291P012X1951003590002319510035900023-51454#L01;0510036M
106291P012X1957009920004119570099200041-57630#L01;0570095U
106291P012X4095543590001138370431900037-06088#L01;0061542U
106291P012X4905025230001549050252300015-13084#L01;0134350H
106333P011X1924002320004219240023200026-24138#L01;0241099P
106337P012X1954004290002119540042900021-54395#L01;0540042C
106339P012X1831090730003519090002700011-09122#L01;0090002D
106339P012X1859216160005718592161600057-59350#L01;0590258K 
106339P012X1877091830023518770918300235-77014#L01;0771914M
106339P012X1887370350002518873703500025-87154#L01;0870040W
106339P012X1888221180001718882211800017-88424#L01;0881672P
106339P012X1905000660003919050006600039-05046#L01;0050004C
106339P012X1913005320002219130053200022-13208#L01;0132974M
106339P012X1957005700003719570057000037-57463#L01;0572728F
106339P012X3156680380004731566803800047-97411#L01;9741570N
106339P012X3511911190016035119111900160-35238#L01;0353005B
106339P012X3511911190016035119111900277-56260#L01;0562005A
106339P012X3511911190016035119111900285-14566#L01;0142395C
106339P012X3932481900002639324819000026-78297#L01;0781578S 
106339P012X4238063550020642380635500099-83137#L01;0830662U
106339P012X4521194980002345211949800023-94065#L01;0942263Z
106339P012X4521194980008045211949800080-97418#L01;9741741Z
106339P012X4521194980010645211949800106-69388#L01;0694365V
106339P012X4933005600001578184252100010-33063#L01;0331501C 
106339P012X5030492150002651390348400014-43157#L01;0430098Y
106339P012X8033555930003680335559300036-68376#L01;0681917P
106339P012X8778455370001987784553700019-13004#L01;0133837A
106517P012X1300172700082388931074400020-78423#L01;0781809T
106517P012X1821002630004118210026300041-71076#L01;0710010A
106517P012X1825002310002819900002700011-90010#L01;0900002N 
106517P012X1853004490001318530044900013-53201#L01;0530931Z
106517P012X1859216160005718592161600057-59350#L01;0590258K
106517P012X1859216160005718592161600057-59606#L01;0590221V 
106517P012X1894091050001318940910500013-77122#L01;0940118T
106517P012X1894091050001318940910500013-94046#L01;0941355M
106517P012X1957005700003719570057000037-57463#L01;0572728F
106517P012X3418207770003334182077700033-75108#L01;0754037F
106517P012X3495860990002134958609900021-57316#L01;0573690B
106517P012X3495860990002134958609900021-57757#L01;0572698Y
106517P012X3495860990002134958609900021-88465#L01;0881721T
106517P012X3511911190016035119111900160-35238#L01;0353005B
106517P012X3793267050006637932670500033-39198#L01;0391172M
106517P012X3983539200001839835392000018-42044#L01;0420992A
106517P012X4178783370004341787833700043-06088#L01;0062201K
106517P012X4238063550020642380635500099-83137#L01;0830662U
106517P012X4444720210001332548695900035-85191#L01;0850130E
106517P012X4523595160002145235951600021-91377#L01;0912263R
106519P012X1853004490001318530044900013-53201#L01;0530931Z
106519P012X2000044630002820000446300028-97611#L01;9760127J
106519P012X3511911190016035119111900160-35238#L01;0353005B
106519P012X3793267050006637932670500033-39198#L01;0391172M
106519P012X3933377380004039333773800040-75119#L01; 0753815P
106519P012X4178783370004341787833700043-06088#L01;0062201K
106519P012X4238063550020642380635500099-83137#L01;0830662U
106519P012X4444720210001332548695900035-85191#L01;0850130E
106519P012X4523595160002145235951600021-91377#L01;0912263R
106621P01113511911190016035119111900293-35047#L01;0353009F
106621P01123511911190016035119111900293-35047#L01;0353009F
106621P01133511911190016035119111900293-35047#L01;0353009F
106621P012X7844140540011378441405400113-75118#L01;0754674Y
106621P013X4523595160002145235951600021-91377#L01;0912263R
106627P01114853882010004148538820100041-22070#L01;0222029L
106627P012X1300260730017613002607300176-71294#L01;0711078L
106627P012X1300279310004213002793100042-09122#L01; 0090553C
106627P012X1300280120001613002801200040-54304#L01;0541548P
106627P012X1859216160005718592161600057-59051#L01;0597015E
106627P012X1859216160005718592161600057-62041#L01;0624444U
106627P012X1951003590002319510035900023-51454#L01;0510038P
106627P012X8052672000001480526720000014-71270#L01;0711884M
106865P011X8253007000002882530070000028-17300#L01;0171523N
106891P012X1300279310004213002793100042-09122#L01; 0090553C
106891P012X1859216160005718592161600057-59414#L01;0596688Z
106891P012X1859216160005718592161600057-59540#L01;0596798U
106891P012X1859216160005718592161600057-62041#L01;0624250H
106891P012X1859216160005718592161600057-62510#L01;0622302R
106893P012X8131259860002281312598600022-58160#L01;0212096P
106893P012X8131259860002281312598600022-71076#L01;0212096P
106895P012X1300279310004213002793100042-09122#L01; 0090553C
106895P012X1859216160005718592161600057-59540#L01;0596798U
106895P012X1859216160005718592161600057-62041#L01;0624250H
106895P012X1859216160005718592161600057-62534#L01;0624262W
106905P01111953008190001619530081900016-53130#L01;0530909A
106905P01113075466220001930754662200019-29124#L01;0291790N
106905P01114853882010004148538820100041-22258#L01;0221033D
106905P01114853882010004148538820100041-56237#L01;0561463L
106905P011X1902152280004919021522800049-02789#L01;0022046N
106907P01111936001780006819360017800100-36018#L01;0360766M
106915P01113075466220001930754662200019-29124#L01;0291790N
106915P01114853882010004148538820100041-22258#L01;0221033D
106917P011X1902152280004919021522800049-02789#L01;0022046N 
106917P012X1986071860003019860718600030-86165#L01;0861312J
106925P012X1930013930003519300139300035-30356#L01;0301435X
106941P01228925840790001632537199500029-14118#L01;0141191U
107025P012X1859216160005718592161600057-62516#L01;0624370N
107027P011X7756621410006577566214100065-93051#L01;0931815T
107027P01221825002310002819251371100015-25056#L01;0251371E
107027P012X1300279310004213002793100042-09122#L01;0090553C
107027P012X1821002630004118210026300041-89024#L01;0890005X
107027P012X1859216160005718592161600057-59540#L01;0596798U
107027P012X1859216160005718592161600057-62041#L01;0624250H
107027P012X1859216160005718592161600057-62193#L01;0622099V
107027P012X1859216160005718592161600057-62318#L01;0624288Z
107027P012X1859216160005718592161600057-62510#L01;0622302R
107027P012X1859216160005718592161600057-62534#L01;0624262W
107027P012X3376484890004133764848900041-94028#L01;0942288B
107027P012X7756620260107477566202601074-25056#L01;0251928K
107027P012X7786484850007777864848500093-25056#L01;0251967C
107263P01111876090940002919760096800022-76255#L01;0760032X
107263P01114241754610002142417546100021-44184#L01;0442632X
107263P01128925840790001678071371500107-14118#L02;0141867D
107263P01221825002310002819251371100015-25056#L01;0251371E
107263P012X1300260730017613002607300176-71294#L01;0711078L
107263P012X1300279310004213002793100042-09122#L01;0090553C
107263P012X1821002630004118210026300041-58086#L01;0580014A
107263P012X1859216160005718592161600057-59008#L01;0592610S
107263P012X1859216160005718592161600057-59009#L01;0596831E
107263P012X1859216160005718592161600057-59033#L01;0596705T
107263P012X1859216160005718592161600057-62186#L01;0624399V
107263P012X1859216160005718592161600057-62427#L01;0622318H
107263P012X1888221180001718882211800017-88424#L01;0881672P
107263P012X1957005700003719570057000037-57463#L01;0570057C
107263P012X1957005700003719570057000037-57672#L01;0570108H
107263P012X1957009920004119570099200041-57227#L01;0570030Y
107263P012X1957009920004119570099200041-57630#L01;0570095U
107263P012X1957009920004119570099200041-57631#L01;0570099Y
107263P012X4241754610002142417546100021-44184#L01;0442632X
107263P012X4853882010004148538820100041-56007#L01;0561620G
107263P012X8848840570001688488405700016-14118#L01;0141815X
107815P01238925840790001678071371500107-14118#L01;0141867D
107815P01321825002310002819700882400017-70550#L01;0700882D
107815P01331825002310002819900004300018-90010#L01;0900236T
107815P013X1957005700003719570057000037-57463#L01;0570057C
107855P012X1949096360005319490963600053-49007#L01;0492389F
107905P01214124404300002041244043000020-76429#L01;0763150L
