cle_ministere_educatif;uai_formation
075787P012X3418207770003334182077700033-94080#L01;0940822H
075787P012X7752728000001977527280000019-37122#L01;0370748M
07578912X1913005320002219130053200022-13213#L01;0130050J
075789P011X1894091050001318940910500013-94019#L01;0941470M
075789P012X1831090730003519320067200015-32013#L01;0320067Z
075789P012X1859216160005718592161600057-59350#L01;0595786U 
075789P012X1859216160005718592161600057-62160#L01;0620052V 
075789P012X1859216160005718592161600057-62427#L01;0620095S
075789P012X1867155380003618671553800044-67218#L01;0672198A
075789P012X1867155380003618671553800044-68063#L01;0681810Y
075789P012X1878091320004119951637800015-95127#L01;0951637N
075789P012X1887370350002518873703500025-23079#L01;0230581G
075789P012X1913005320002219130053200022-13213#L01;0130050J
075789P012X1931004430002019310053400018-31555#L01;0310053P
075789P012X1933002330003119330023300031-64024#L01;0640001D
075789P012X1956002670004919560026700049-56121#L01;0561958Z
075789P012X1985002820003519850028200035-85191#L01;0850027T
075789P012X3418207770003334182077700033-94080#L01;0940822H 
075789P012X4188467620003119382099000011-38474#L01;0382099A
075789P012X4203044610002342030446100023-75119#L01;0750697A 
075789P012X7752728000001977527280000019-37122#L01;0370748M
075791P01111955000200002719550002000027-55545#L01;0550025D
075791P01214124404300002041244043000020-76429#L01;0763150L 
075791P012X1831090730003519650005200010-65059#L01;0650005C
075791P012X1831090730003519810004200011-81004#L01;0810004P
075791P012X1831090730003519810032300015-81163#L01;0810033W
075791P012X1831090730003519820021400015-82121#L01;0820021C
075791P012X1859216160005718592161600057-59350#L01;0590121L 
075791P012X1859216160005718592161600057-62119#L01;0620042J
075791P012X1859216160005718592161600057-62525#L01;0622803K 
075791P012X1887370350002518873703500025-23096#L01;0230051F
075791P012X1949000310002319490055100012-49328#L01;0490055U
075791P012X1954004290002119540042900021-54395#L01;0540042C
075791P012X1956002670004919560026700049-56121#L01;0561958Z
075791P012X1975067690001119750676900011-75111#L01;0750676C
075791P012X4444720210001348825428500015-85238#L01;0850086G
075791P012X4853882010004148538820100041-29103#L01;0290184T
075792P011X1894091050001318940910500013-77305#L01;0770938B
075792P012X1957005700003719570057000037-57672#L01;0570108H
075792P012X3510908400001535109084000056-33351#L01;0333206F
075841P01218925840790001652981754600011-76427#L01;0762284V
075943P012X1925120280001519251202800015-25364#L01;0251853D
075943P012X1930013930003519300139300035-30356#L01;0301435X
075943P012X4203044610002342030446100023-75113#L01;0751710B
075944P012X1906079370007419830077400025-83069#L01;0831557S
075944P012X7834697940001178346979400029-88402#L01;0881709E
075946P012X3399959200001633999592000016-61332#L01;0611037W
075947P013X7861365150001678613651500016-49080#L01;0491834C
076297P012X7807475490001978074754900019-14396#L01;0141872J
076297P013X7781585270001177815852700011-21001#L01;0211578B
076297P013X7785309070001477853090700014-70447#L01;0700956J
076297P013X8027570390001080275703900010-39500#L01;0391212F
076313P011X3180434110004631804341100046-94004#L01;0942024P
076313P01313180434110004631804341100061-50216#L01;0501793C
076313P013X1955075200001119550752000011-55545#L01;0551073T
076575P012X1831090730003519310047600012-31555#L01;0310047H
076575P012X3004888060011230048880600112-59378#L01;0593335E 
076575P012X5030492150002677653003200023-74010#L01;0740082M 
076575P012X5030492150002677912879200024-43041#L01;0430055B
076576P012X5030492150002677653003200023-74010#L01;0740082M 
076576P012X5030492150002677912879200024-43041#L01;0430055B
076752P012X1300172700082388941511300022-75117#L01;0754955D
076930P012X1951003590002319510035900023-51108#L01;0510007F
076930P012X1951003590002319510035900023-51454#L01;0510035L
076930P012X1951003590002319510035900023-51535#L01;0510053F
076930P012X1951003590002319510035900023-51649#L01;0510062R
077192P012X1935003030003019350030300030-35115#L01;0352754D
077208P011X1859216160005718592161600057-62767#L01;0620167V 
077473P012X1859216160005718592161600057-59350#L01;0590111A
077473P012X3495860990002134958609900021-55029#L01;0551031X
077480P01111876090940002919610021800029-61169#L01;0610021S
077480P01221876090940002919500032800011-50129#L01;0500032N
077480P012X1859216160005718592161600057-59014#L01;0596972H
077480P012X1859216160005718592161600057-62041#L01;0624444U
077480P012X1859216160005718592161600057-62895#L01;0624384D
077480P013X1859216160005718592161600057-59271#L01;0594652L
077480P013X1859216160005718592161600057-62193#L01;0623105N
077480P013X3495860990002134958609900021-57757#L01;0572698Y
077480P013X7787152190013677871521900110-90010#L01;0900430D
077570P012X7757225720110977572257201158-14327#L01;0142428N
0776151218313809360001183138093600011-83061#L01;0831760M
077615P01111942004240002719420075400019-42147#L01;0420018S
077615P011X1913005320002219130053200022-13203#L01;0130043B 
077615P011X4203044610002342030446100023-75114#L01;0752846L
077615P011X5001380290002977562426500077-59350#L01;0593117T 
077615P012X1859216160005718592161600057-59350#L01;0590117G
077615P012X1905000660003919050006600039-05061#L01;0050009H
077615P012X1913005320002219130053200022-13203#L01;0130043B 
