IDCC;Opérateur de compétences;Libellé;obs
2378;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Accords nationaux professionnels concernant le personnel intérimaire des entreprises de travail temporaire;
2395;OPCO entreprises de proximité;Convention collective nationale de travail des assistants maternels du particulier employeur;
2397;AFDAS;Convention collective des mannequins adultes et des mannequins enfants de moins de seize ans employés par les agences de mannequins;
2408;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale des personnels des services administratifs et économiques, personnels d'éducation et documentalistes des établissement d'enseignement privés;
2411;AFDAS;Convention collective nationale des chaînes thématiques;
2412;AFDAS;Convention collective de la production de films d'animation;
2420;OPCO Construction;Convention collective nationale des cadres du bâtiment du 1er juin 2004;
2494;OCAPIAT;Convention collective nationale de la coopération maritime;
2511;AFDAS;Convention collective nationale du sport;
2526;OPCO Cohésion sociale;Convention collective nationale des organisations professionnelles de l'habitat social;
2528;OPCO 2i;Convention collective nationale de travail des industries de la maroquinerie, articles de voyage, chasse sellerie, gainerie, bracelets en cuir;
2543;OPCO ATLAS;Convention collective nationale des cabinets ou entreprises de géomètres experts, géomètres topographes photogrammètres, experts-fonciers;
2564;OPCO entreprises de proximité;Convention collective nationale des vétérinaires praticiens salariés;
2583;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale de branche des sociétés concessionnaires ou exploitantes d'autoroutes ou d'ouvrages routiers;
2596;OPCO entreprises de proximité;Convention collective nationale de la coiffure et des professions connexes;
2603;OPCO Cohésion sociale;Convention collective nationale de travail des praticiens conseils du régime général de sécurité sociale;
2609;OPCO Construction;Convention collective nationale des employés, techniciens et agents de maîtrise du bâtiment;
2614;OPCO Construction;Convention collective nationale des employés, techniciens et agents de maîtrise des travaux publics;
2622;OPCO ATLAS;Convention collective du crédit maritime mutuel;
2642;AFDAS;Convention collective de la production audiovisuelle;
2666;OPCO Cohésion sociale;Convention collective nationale des conseils d'architecture, d'urbanisme et de l'environnement;
2668;OPCO Cohésion sociale;Convention collective nationale de travail des cadres supérieurs des sociétés de secours minières et de leurs établissements, des unions régionales et des assistants sociaux régionaux;
2683;AFDAS;Convention collective nationale du portage de presse;
2691;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale de l'enseignement privé indépendant (hors contrat);
2697;OPCO entreprises de proximité;Convention collective nationale des personnels des structures associatives cynégétiques;
2706;OPCO entreprises de proximité;Convention collective nationale du personnel des administrateurs et des mandataires judiciaires;
2717;AFDAS;Convention collective nationale des entreprises techniques au service de la création et de l'événement;
2727;OPCO Cohésion sociale;Convention collective nationale des omnipraticiens exerçant dans les centres de santé miniers;
2728;OCAPIAT;Convention collective nationale des sucreries, sucreries-distilleries et raffineries de sucre;
2768;OPCO Cohésion sociale;Convention collective national de travail des pharmaciens du régime minier;
2770;AFDAS;Convention collective nationale de l'édition phonographique;
2785;OPCO entreprises de proximité;Convention collective nationale des sociétés de ventes volontaires de meubles aux enchères publiques et des offices de commissaires-priseurs judiciaires;
2793;OPCO Cohésion sociale;Convention collective de travail du 25 juin 1968 des agents de direction et des agents-comptables des organismes de sécurité sociale et d'allocations familiales;
2796;OPCO Cohésion sociale;Convention collective du personnel de direction du régime social des indépendants, ses annexes et son accord d'application;
2797;OPCO Cohésion sociale;Convention collective nationale spéciale de travail des praticiens conseils du régime social des indépendants et son annexe 1 relative à l'ARTT;
2798;OPCO Cohésion sociale;Convention collective des employés et cadres du régime social des indépendants, ses annexes 1 à 6 et son accord d'application;
2847;OPCO Cohésion sociale;Convention collective nationale de Pôle Emploi;
2931;OPCO ATLAS;Convention collective nationale des activités de marchés financiers;
2941;OPCO Cohésion sociale;Convention collective de la branche de l'aide, de l'accompagnement, des soins et des services à domicile;
2972;OPCO Mobilité;Convention collective du personnel sédentaire des entreprises de navigation;
2978;OPCO entreprises de proximité;Convention collective nationale du personnel salarié des agences de recherches privées;
3013;OPCO entreprises de proximité;Convention collective nationale de la librairie;
3016;OPCO Cohésion sociale;Convention collective des ateliers chantiers d'insertion;
3017;OPCO Mobilité;Convention collective nationale unifiée ports et manutention;
3032;OPCO entreprises de proximité;Convention collective nationale de l'esthétique - cosmétique et de l'enseignement technique et professionnel liés aux métiers de l'esthétique et de la parfumerie;
3043;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale des entreprises de propreté et services associés du 26 juillet 2011;
3090;AFDAS;Convention collective nationale des entreprises du secteur privé du spectacle vivant;
3097;AFDAS;Convention collective nationale de la production cinématographique;
3105;OPCO Cohésion sociale;Convention collective nationale des régies de quartier;
3109;OCAPIAT;Convention collective nationale des 5 branches industries alimentaires diverses;
3127;OPCO entreprises de proximité;Convention collective nationale des entreprises de services à la personne du 20 septembre 2012;
3168;OPCO Commerce;Convention collective Nationale des professions de la photographie;
3203;OCAPIAT;Convention collective des structures associatives de pêche de loisir et de protection du milieu aquatique;
3205;OPCO Commerce;Convention collective nationale du personnel des coopératives de consommation;
3210;OPCO ATLAS;Convention collective de la banque populaire;
3212;OPCO Construction;Convention collective nationale des cadres des travaux publics;
3213;OPCO ATLAS;Convention collective nationale des collaborateurs salariés des entreprises d'économistes de la construction et des métreurs-vérificateurs;
3216;OPCO Construction;Convention collective nationale des salariés du négoce des matériaux de construction;
3217;OPCO Mobilité;Convention collective nationale ferroviaire;
3218;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale de l'enseignement privé non lucratif (EPNL);
3219;OPCO entreprises et salariés des services à forte intensité de main-d'œuvre;Convention collective nationale de branche des salariés en portage salarial;
3220;OPCO Cohésion sociale;Convention collective nationale des offices publics de l'habitat;
3221;AFDAS;Convention collective nationale des agences de presse;
3223;OPCO Mobilité;Convention collective nationale des officiers des entreprises de transport et services maritimes;
3224;OPCO 2i;"Convention collective nationale de la distribution des papiers-cartons ; commerce de gros";
3225;AFDAS;Convention collective nationale des employés et des cadres des éditeurs de la presse magazine;
3227;OPCO 2i;Convention collective nationale des industries de la fabrication de la chaux;Arrêté du 9 mai 2019 (JO du 1er juin 2019) : 3151 remplacé par 3227 
3228;OPCO Mobilité;Convention collective nationale du groupement des armateurs de service de passages d'eau - personnel navigant;
3230;AFDAS;Convention collective nationale des employés de la presse d'information spécialisée;
5001;OPCO 2i;Statut des industries électriques et gazières;
5005;OPCO ATLAS;Branche des caisses d'épargne ;Arrêté du 9 mai 2019 (JO du 1er juin 2019)
